url,status,title,title_len,meta_description_len,canonical,canonical_matches_url,meta_robots,lang,hreflang_count,h1,h2_count,words_main,schema_types,internal_inlinks_from_sitemap_pages,images,og_image
https://www.sflworldwide.com,200,Best International Shipping and Moving Company - SFL Worldwide,62,162,https://www.sflworldwide.com,True,"index, follow",en-US,4,International Shipping & Moving Company,10,497,BreadcrumbList;Organization,455,84,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/en-in,200,Home - Best Shipping and Moving Services across India,53,138,https://www.sflworldwide.com/en-in,True,"index, follow",en-IN,4,Best Shipping & Moving Services across India,10,645,BreadcrumbList;Organization,454,108,https://www.sflworldwide.com/assets/uploads/sites/2/2024/11/landing-india.png
https://www.sflworldwide.com/en-ca,200,Affordable Shipping from Canada to the World,44,154,https://www.sflworldwide.com/en-ca,True,"index, follow",en-CA,4,Affordable Shipping from Canada to the World,7,617,BreadcrumbList;Organization,454,73,https://www.sflworldwide.com/assets/uploads/sites/7/2024/12/canada-img.png
https://www.sflworldwide.com/about-us/accreditations,200,Accreditations - SFL Worldwide,30,133,https://www.sflworldwide.com/about-us/accreditations,True,"index, follow",en-US,4,SFL Worldwide Accreditations,3,510,BreadcrumbList,2,96,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/about-us,200,SFL Worldwide: Your One-Stop Logistics Partner,46,142,https://www.sflworldwide.com/about-us,True,"index, follow",en-US,4,About SFL Worldwide,12,1087,BreadcrumbList;Organization;VideoObject,391,126,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/about-us/trusted-reviews,200,Trusted Reviews – SFL Worldwide Global Services,47,123,https://www.sflworldwide.com/about-us/trusted-reviews,True,"index, follow",en-US,4,What Our Customers Say About Our Services,4,421,BreadcrumbList,139,135,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/best-usa-to-india-courier-services-for-fast-and-affordable-delivery,200,Best Courier Services USA to India | Fast and Affordable,56,150,https://www.sflworldwide.com/best-usa-to-india-courier-services-for-fast-and-affordable-delivery,True,"index, follow",en-US,0,Courier to the USA from India – Fast & Affordable,10,815,BreadcrumbList,0,105,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/10-best-practices-for-shipping-health-beauty-products-to-canada,200,Shipping Health and Beauty Products to Canada from USA,54,148,https://www.sflworldwide.com/blog/10-best-practices-for-shipping-health-beauty-products-to-canada,True,"index, follow",en-US,0,10 Best Practices for Shipping Beauty Products to Canada,8,1206,,2,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/1kg-craft-items-courier-to-india-shipping-rates,200,1kg Craft Items Courier to India Shipping Rates Guide,53,141,https://www.sflworldwide.com/blog/1kg-craft-items-courier-to-india-shipping-rates,True,"index, follow",en-US,0,"Courier 1 kg Craft Items to India: Shipping Charges, Delivery Time & Tips",8,1607,,2,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/5-tips-for-shipping-gifts-overseas-this-holiday-season,200,Tips For Shipping Gifts Overseas This Holiday Season,52,134,https://www.sflworldwide.com/blog/5-tips-for-shipping-gifts-overseas-this-holiday-season,True,"index, follow",en-US,0,5 TIPS for shipping gifts overseas this holiday season,3,831,,3,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/8-simple-steps-to-ship-your-personal-belongings-to-uk,200,8 Simple Steps to Ship Your Personal Belongings to UK,53,139,https://www.sflworldwide.com/blog/8-simple-steps-to-ship-your-personal-belongings-to-uk,True,"index, follow",en-US,0,8 Simple Steps to Ship Your Personal Belongings to UK,8,1492,,2,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/a-beginners-guide-to-mailing-small-packages,200,A Beginner’s Guide to Mailing Small Packages - SFL Worldwide,60,139,https://www.sflworldwide.com/blog/a-beginners-guide-to-mailing-small-packages,True,"index, follow",en-US,0,A Beginner’s Guide to Mailing Small Packages,2,1507,,2,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/a-complete-guide-to-usps-ground-advantage,200,A Complete Guide to USPS Ground Advantage - SFL Worldwide,57,124,https://www.sflworldwide.com/blog/a-complete-guide-to-usps-ground-advantage,True,"index, follow",en-US,0,A Complete Guide to USPS Ground Advantage,2,1469,,2,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/a-comprehensive-guide-to-billing-address-vs-shipping-address,200,A Comprehensive Guide to Billing Address vs Shipping Address,60,141,https://www.sflworldwide.com/blog/a-comprehensive-guide-to-billing-address-vs-shipping-address,True,"index, follow",en-US,0,Billing Address vs Shipping Address: Key Differences & Why It Matters,6,1587,,2,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/a-comprehensive-guide-to-break-bulk-shipping,200,A Comprehensive Guide to Break Bulk Shipping,44,143,https://www.sflworldwide.com/blog/a-comprehensive-guide-to-break-bulk-shipping,True,"index, follow",en-US,0,A Comprehensive Guide to Break Bulk Shipping,9,1396,,2,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
https://www.sflworldwide.com/blog/a-comprehensive-guide-to-royal-mail-delivery-services,200,A Comprehensive Guide to Royal Mail Delivery Services,53,146,https://www.sflworldwide.com/blog/a-comprehensive-guide-to-royal-mail-delivery-services,True,"index, follow",en-US,0,A Comprehensive Guide to Royal Mail Delivery Services,2,1306,,2,30,https://www.sflworldwide.com/assets/uploads/2023/08/home-ship.png
