query,position,result_url,domain,is_sfl
shipping to india from usa,1,https://dhl.com/in-en/home/ship/shipping-to-usa.html,dhl.com,False
shipping to india from usa,2,https://dhl.com/us-en/home/ship/shipping-to-india.html,dhl.com,False
shipping to india from usa,3,https://us.meest.com/services/service/delivery-to-india,us.meest.com,False
shipping to india from usa,4,https://shoppre.com/cheap-and-fast-shipping-service-from-india-to-usa,shoppre.com,False
shipping to india from usa,5,https://easyship.com/shipping-rate-calculator/usa-to-india,easyship.com,False
shipping to india from usa,6,https://parcelmonkey.com/destinations/asia/india,parcelmonkey.com,False
shipping to india from usa,7,https://atlanticcourier.net/courier-to-usa,atlanticcourier.net,False
shipping to india from usa,8,https://fedex.com/en-in/shipping.html,fedex.com,False
shipping to india from usa,9,https://community.shopify.com/t/whats-the-best-shipping-app-for-beginners-shipping-from-india-to-the-usa/37424,community.shopify.com,False
cheapest way to ship to india from usa,1,https://us.meest.com/services/service/delivery-to-india,us.meest.com,False
cheapest way to ship to india from usa,2,https://easyship.com/blog/cheap-shipping-to-india,easyship.com,False
cheapest way to ship to india from usa,3,https://parcelmonkey.com/destinations/asia/india,parcelmonkey.com,False
cheapest way to ship to india from usa,4,https://quora.com/What-is-the-cheapest-way-to-ship-a-parcel-from-US-to-India,quora.com,False
cheapest way to ship to india from usa,5,https://sflworldwide.com/worldwide-destinations/shipping-to-india,sflworldwide.com,True
cheapest way to ship to india from usa,6,https://atoship.com/blog/cheapest-way-to-ship-a-package-to-india-2026,atoship.com,False
cheapest way to ship to india from usa,7,https://jioworldwide.com/worldwide-destination/shipping-india/,jioworldwide.com,False
cheapest way to ship to india from usa,8,https://coolparcel.com/shipping/international/asia/india,coolparcel.com,False
cheapest way to ship to india from usa,9,https://teamblind.com/post/courier-to-india-2xvxuxdo,teamblind.com,False
courier from usa to india,1,https://us.meest.com/services/service/delivery-to-india,us.meest.com,False
courier from usa to india,2,https://dhl.com/us-en/home/ship/shipping-to-india.html,dhl.com,False
courier from usa to india,3,https://sflworldwide.com/worldwide-destinations/shipping-to-india,sflworldwide.com,True
courier from usa to india,4,https://garudavega.com/,garudavega.com,False
courier from usa to india,5,https://shipindus.com/courier/international-courier-from-usa-to-india,shipindus.com,False
courier from usa to india,6,https://jioworldwide.com/worldwide-destination/shipping-india/,jioworldwide.com,False
courier from usa to india,7,https://shipindus.com/courier/courier-to-india-from-usa,shipindus.com,False
courier from usa to india,8,https://usa.dtdc.com/,usa.dtdc.com,False
courier from usa to india,9,https://coolparcel.com/shipping/international/asia/india,coolparcel.com,False
shipping to pakistan from usa,1,https://qwintry.com/en/pk,qwintry.com,False
shipping to pakistan from usa,2,https://us.meest.com/services/service/delivery-to-pakistan,us.meest.com,False
shipping to pakistan from usa,3,https://easyship.com/shipping-rate-calculator/usa-to-pakistan,easyship.com,False
shipping to pakistan from usa,4,https://parcelmonkey.com/destinations/asia/pakistan,parcelmonkey.com,False
shipping to pakistan from usa,5,https://shipnex.com/ocean-freight/pakistan,shipnex.com,False
shipping to pakistan from usa,6,https://fedex.com/en-pk/home.html,fedex.com,False
shipping to pakistan from usa,7,https://pakistancargousa.com/,pakistancargousa.com,False
shipping to pakistan from usa,8,https://panjiva.com/US-Overseas/4482004,panjiva.com,False
shipping to pakistan from usa,9,https://panjiva.com/Freight-Connection-Pakistan-Pvt-Ltd/39735883,panjiva.com,False
cheapest shipping to canada from usa,1,https://goshippo.com/blog/shipping-to-canada-from-the-us,goshippo.com,False
cheapest shipping to canada from usa,2,https://parcelmonkey.com/destinations/north-america/canada,parcelmonkey.com,False
cheapest shipping to canada from usa,3,https://try.sendle.com/en-ca/ship-to-the-united-states,try.sendle.com,False
cheapest shipping to canada from usa,4,https://secureship.ca/shipping/canada-to-usa,secureship.ca,False
cheapest shipping to canada from usa,5,https://shipstation.com/blog/the-cheapest-way-to-ship-from-the-us-to-canada/,shipstation.com,False
cheapest shipping to canada from usa,6,https://stallion.ca/blog/cheapest-way-to-ship-from-canada-to-us/,stallion.ca,False
cheapest shipping to canada from usa,7,https://canadapost-postescanada.ca/cpc/en/personal/send-internationally/compare-services/small-packet-usa.page,canadapost-postescanada.ca,False
cheapest shipping to canada from usa,8,https://open.mit.edu/profile/(path not recorded),open.mit.edu,False
cheapest shipping to canada from usa,9,https://ilde2.upf.edu/edcrumble/v/y00,ilde2.upf.edu,False
cheap shipping to uk from usa,1,https://clickpost.ai/blog/cheapest-shipping-from-usa-to-uk,clickpost.ai,False
cheap shipping to uk from usa,2,https://goshippo.com/blog/international-shipping-101-shipping-to-the-uk-from-the-us,goshippo.com,False
cheap shipping to uk from usa,3,https://parcelmonkey.com/destinations/europe/uk,parcelmonkey.com,False
cheap shipping to uk from usa,4,https://easyship.com/blog/cheapest-shipping-from-usa-to-the-uk,easyship.com,False
cheap shipping to uk from usa,5,https://easyship.com/blog/cheapest-way-to-ship-to-the-uk,easyship.com,False
cheap shipping to uk from usa,6,https://sherpr.com/en-us/shipping/to-uk-from-usa/,sherpr.com,False
cheap shipping to uk from usa,7,https://jioworldwide.com/worldwide-destination/shipping-united-kingdom/,jioworldwide.com,False
cheap shipping to uk from usa,8,https://splicepackages.com/destinations/shipping-usa-to-united-kingdom,splicepackages.com,False
cheap shipping to uk from usa,9,https://jackcooper.com/cheapest-shipping-from-usa-to-uk-complete-guide/,jackcooper.com,False
cheap shipping to australia from usa,1,https://goshippo.com/blog/shipping-to-australia-from-the-usa-rules-costs-and-options,goshippo.com,False
cheap shipping to australia from usa,2,https://easyship.com/blog/cheapest-way-to-ship-to-australia,easyship.com,False
cheap shipping to australia from usa,3,https://parcelmonkey.com/destinations/oceania/australia,parcelmonkey.com,False
cheap shipping to australia from usa,4,https://easyship.com/en-au/shipping-rate-calculator/australia-to-usa,easyship.com,False
cheap shipping to australia from usa,5,https://shipstation.com/blog/cheapest-shipping-to-australia/,shipstation.com,False
cheap shipping to australia from usa,6,https://us.meest.com/news/how-to-ship-to-australia-from-the-us-a-beginners-guide,us.meest.com,False
cheap shipping to australia from usa,7,https://dhl.com/us-en/home/ship/shipping-to-australia.html,dhl.com,False
cheap shipping to australia from usa,8,https://community.ebay.com/(path not recorded),community.ebay.com,False
cheap shipping to australia from usa,9,https://wise.com/au/blog/shipping-from-us-to-australia,wise.com,False
shipping to uae from usa,1,https://searates.com/blog/post/how-to-ship-from-the-uae-to-the-usa,searates.com,False
shipping to uae from usa,2,https://easyship.com/shipping-rate-calculator/usa-to-uae,easyship.com,False
shipping to uae from usa,3,https://myus.com/where-we-ship/united-arab-emirates/,myus.com,False
shipping to uae from usa,4,https://easyship.com/en-ae/shipping-rate-calculator/uae-to-usa,easyship.com,False
shipping to uae from usa,5,https://parcelmonkey.com/destinations/middle-east/uae,parcelmonkey.com,False
shipping to uae from usa,6,https://huddex.com/blogs/international-shipping-from-dubai-to-the-usa-2025-guided,huddex.com,False
shipping to uae from usa,7,https://theallianceshipping.com/cargo-from-dubai-to-usa/,theallianceshipping.com,False
shipping to uae from usa,8,https://community.ebay.com/(path not recorded),community.ebay.com,False
shipping to uae from usa,9,https://trade.gov/market-intelligence/uae-blue-economy,trade.gov,False
shipping to nigeria from usa,1,https://dhl.com/us-en/home/ship/shipping-to-nigeria.html,dhl.com,False
shipping to nigeria from usa,2,https://instagram.com/p/DUGlur2jCVe/,instagram.com,False
shipping to nigeria from usa,3,https://parcelmonkey.com/destinations/africa/nigeria,parcelmonkey.com,False
shipping to nigeria from usa,4,https://internationalshippingusa.com/Shipping_to_Nigeria.aspx,internationalshippingusa.com,False
shipping to nigeria from usa,5,https://cargonaija.com/cargo-to-nigeria-from-usa/,cargonaija.com,False
shipping to nigeria from usa,6,https://cargonaija.com/send-from-nigeria-to-usa/,cargonaija.com,False
shipping to nigeria from usa,7,https://sgkglobal.com/best-shipping-company-usa-to-nigeria/,sgkglobal.com,False
shipping to nigeria from usa,8,https://forums.tomsguide.com/(path not recorded),forums.tomsguide.com,False
shipping to nigeria from usa,9,https://forums.tomsguide.com/(path not recorded),forums.tomsguide.com,False
shipping to ghana from usa,1,https://us.meest.com/services/service/delivery-to-ghana,us.meest.com,False
shipping to ghana from usa,2,https://shipbob.com/shipping-from-us/to-ghana/,shipbob.com,False
shipping to ghana from usa,3,https://aquantuo.com/shipping-from-ghana-to-usa,aquantuo.com,False
shipping to ghana from usa,4,https://aquantuo.com/shipping-to-ghana-from-usa,aquantuo.com,False
shipping to ghana from usa,5,https://easyship.com/shipping-rate-calculator/usa-to-ghana,easyship.com,False
shipping to ghana from usa,6,https://fedex.com/en-gh/shipping.html,fedex.com,False
shipping to ghana from usa,7,https://facebook.com/groups/(path not recorded),facebook.com,False
shipping to ghana from usa,8,https://internationalshippingusa.com/Shipping_to_Ghana.aspx,internationalshippingusa.com,False
shipping to ghana from usa,9,https://forums.tomsguide.com/(path not recorded),forums.tomsguide.com,False
international moving companies,1,https://allied.com/international-moving-company/international-moving,allied.com,False
international moving companies,2,https://unitedvanlines.com/moving-services/international-moving,unitedvanlines.com,False
international moving companies,3,https://allied.com/moving-companies/california/los-angeles/los-angeles-international-movers,allied.com,False
international moving companies,4,https://en.wikipedia.org/wiki/Classic_Moving,en.wikipedia.org,False
international moving companies,5,https://suddath.com/moving-company/seattle/international-movers/,suddath.com,False
international moving companies,6,https://schumachercargo.com/moving/moving-from-new-york.html,schumachercargo.com,False
international moving companies,7,https://yelp.com/search?x,yelp.com,False
international moving companies,8,https://schumachercargo.com/moving/moving-from-california.html,schumachercargo.com,False
international moving companies,9,https://sacramentomover.net/(path not recorded),sacramentomover.net,False
international moving companies,10,https://lincolnmovingandstorage.com/(path not recorded),lincolnmovingandstorage.com,False
international movers usa to india,1,https://sevenseasworldwide.com/en-us/moving/international-relocation/india/,sevenseasworldwide.com,False
international movers usa to india,2,https://globalvanlines.com/location/intl/india/,globalvanlines.com,False
international movers usa to india,3,https://agarwalpackers.us/us-to-india.html,agarwalpackers.us,False
international movers usa to india,4,https://jioworldwide.com/worldwide-moving/moving-to-india/,jioworldwide.com,False
international movers usa to india,5,https://jioworldwide.com/worldwide-moving/house-moving-to-india/,jioworldwide.com,False
international movers usa to india,6,https://internationalmoving.com/moving-to-india/,internationalmoving.com,False
international movers usa to india,7,https://universalrelocations.com/shipping-to-india-from-usa/,universalrelocations.com,False
international movers usa to india,8,https://threemovers.com/moving-companies-usa-to-india/,threemovers.com,False
international movers usa to india,9,https://earthrelocation.com/moving-to-india-from-us/,earthrelocation.com,False
moving to australia from usa movers cost,1,https://movebuddha.com/blog/moving-to-australia-from-usa/,movebuddha.com,False
moving to australia from usa movers cost,2,https://internationalvanlines.com/cost-of-moving-to-australia/,internationalvanlines.com,False
moving to australia from usa movers cost,3,https://schumachercargo.com/au/moving-to-australia-from-us.html,schumachercargo.com,False
moving to australia from usa movers cost,4,https://sirelo.com/moving-abroad/moving-to-australia/,sirelo.com,False
moving to australia from usa movers cost,5,https://movehub.com/us/international-moving/australia/,movehub.com,False
moving to australia from usa movers cost,6,https://internationalvanlines.com/moving-from-usa-to-australia/,internationalvanlines.com,False
moving to australia from usa movers cost,7,https://threemovers.com/how-much-does-it-cost-to-move-to-australia/,threemovers.com,False
moving to australia from usa movers cost,8,https://threemovers.com/move-to-australia-from-usa/,threemovers.com,False
moving to australia from usa movers cost,9,https://wise.com/us/blog/moving-to-australia-guide-for-expats,wise.com,False
moving to germany from usa shipping household goods,1,https://schumachercargo.com/moving-from-germany-to-the-usa-your-complete-guide-to-shipping-household-goods/,schumachercargo.com,False
moving to germany from usa shipping household goods,2,https://schumachercargo.com/de/moving-to-germany-from-us.html,schumachercargo.com,False
moving to germany from usa shipping household goods,3,https://sevenseasworldwide.com/en-us/shipping/shipping-to-destinations/germany/,sevenseasworldwide.com,False
moving to germany from usa shipping household goods,4,https://germany.info/us-en/moving-966174,germany.info,False
moving to germany from usa shipping household goods,5,https://move.org/how-to-move-to-germany/,move.org,False
moving to germany from usa shipping household goods,6,https://expertsforexpats.com/(path not recorded),expertsforexpats.com,False
moving to germany from usa shipping household goods,7,https://movehub.com/us/international-shipping/germany/,movehub.com,False
moving to germany from usa shipping household goods,8,https://internationalmoving.com/moving-to-germany/,internationalmoving.com,False
moving to germany from usa shipping household goods,9,https://ameritransfreight.com/shipping-to-germany-from-usa/,ameritransfreight.com,False
cost to move to ireland from usa,1,https://movebuddha.com/blog/moving-to-ireland/,movebuddha.com,False
cost to move to ireland from usa,2,https://allied.com/international-moving-company/areas-served/moving-to-ireland,allied.com,False
cost to move to ireland from usa,3,https://us.iasservices.org.uk/emigrate-from-usa-to-ireland/,us.iasservices.org.uk,False
cost to move to ireland from usa,4,https://sflworldwide.com/blog/how-much-is-it-to-move-to-ireland-from-us,sflworldwide.com,True
cost to move to ireland from usa,5,https://upakweship.com/blog/moving-to-ireland-from-usa/,upakweship.com,False
cost to move to ireland from usa,6,https://jordanrivermoving.com/moving-to-ireland/,jordanrivermoving.com,False
cost to move to ireland from usa,7,https://nationalvanlines.com/blog/moving-to-ireland-from-the-united-states/,nationalvanlines.com,False
cost to move to ireland from usa,8,https://lovetovisitireland.com/cost-move-ireland-from-us-2026/,lovetovisitireland.com,False
cost to move to ireland from usa,9,https://skyscanner.com/routes/ie/us/ireland-to-united-states.html,skyscanner.com,False
ship a car overseas from usa,1,https://wcshipping.com/,wcshipping.com,False
ship a car overseas from usa,2,https://wcshipping.com/international-car-shipping,wcshipping.com,False
ship a car overseas from usa,3,https://schumachercargo.com/car-shipping/,schumachercargo.com,False
ship a car overseas from usa,4,https://fmc.gov/about/bureaus-offices/consumer-affairs-dispute-resolution-services/shipping-your-vehicle-overseas/,fmc.gov,False
ship a car overseas from usa,5,https://sflworldwide.com/blog/international-car-shipping-from-usa,sflworldwide.com,True
ship a car overseas from usa,6,https://moveadvisor.com/move/how-to-ship-a-car-overseas/,moveadvisor.com,False
ship a car overseas from usa,7,https://air7seas.com/blog/shipping-car-to-USA,air7seas.com,False
ship a car overseas from usa,8,https://usgshipping.com/shipping-services/shipping-cars-overseas/,usgshipping.com,False
ship a car overseas from usa,9,https://forbes.com/home-improvement/moving-services/ship-car-from-usa/,forbes.com,False
car shipping usa to uk cost,1,https://wcshipping.com/uk,wcshipping.com,False
car shipping usa to uk cost,2,https://schumachercargo.com/uk/car-shipping-to-uk.html,schumachercargo.com,False
car shipping usa to uk cost,3,https://shipmycar.co.uk/shipping-a-car-to-uk-from-usa,shipmycar.co.uk,False
car shipping usa to uk cost,4,https://alltransportdepot.com/ship-car-to-united-kingdom/,alltransportdepot.com,False
car shipping usa to uk cost,5,https://ivssuk.com/vehicle-shipping-from-the-usa-to-uk/,ivssuk.com,False
car shipping usa to uk cost,6,https://cfrclassic.com/international-car-shipping/car-shipping-from-usa-to-uk/,cfrclassic.com,False
car shipping usa to uk cost,7,https://a1autotransport.com/ship-car-to-uk-united-kingdom/,a1autotransport.com,False
car shipping usa to uk cost,8,https://brlogistics.net/us/ship-car/to-united-kingdom/,brlogistics.net,False
car shipping usa to uk cost,9,https://import-car.info/shipping/,import-car.info,False
auto transport companies,1,https://en.wikipedia.org/wiki/Auto_transport_broker,en.wikipedia.org,False
auto transport companies,2,https://cars.com/car-shipping/money/best-car-shipping-companies-florida/,cars.com,False
auto transport companies,3,https://montway.com/,montway.com,False
auto transport companies,4,https://cars.usnews.com/cars-trucks/car-shipping/best-car-shipping-companies,cars.usnews.com,False
