utc_time,endpoint,detail,cost,running_total
2026-09-20T17:56:14,serp/google/organic/live/advanced,best white label ai voice agent platform for agencies,0.004,0.004
2026-09-20T17:56:18,serp/google/organic/live/advanced,white label voice ai for agencies,0.004,0.008
2026-09-20T17:56:25,serp/google/organic/live/advanced,white label ai voice agent reseller platform,0.004,0.012
2026-09-20T17:56:36,serp/google/organic/live/advanced,ai voice agent platform gohighlevel white label,0.004,0.016
2026-09-20T17:56:54,serp/google/organic/live/advanced,how to start an ai voice agent agency,0.004,0.02
2026-09-20T17:57:07,serp/google/organic/live/advanced,cheapest white label voice ai,0.004,0.024
2026-09-20T17:57:13,serp/google/organic/live/advanced,vapi white label alternative for agencies,0.004,0.028
2026-09-20T17:57:22,serp/google/organic/live/advanced,retell ai white label alternative,0.004,0.032
2026-09-20T17:57:42,serp/google/organic/live/advanced,enterprise ai voice agent platform,0.002,0.034
2026-09-20T17:57:46,serp/google/organic/live/advanced,ai voice agent for contact center,0.004,0.038
2026-09-20T17:58:02,serp/google/organic/live/advanced,ai voice automation customer support,0.002,0.04
2026-09-20T17:58:08,serp/google/organic/live/advanced,hipaa compliant ai voice agent,0.004,0.044
2026-09-20T17:58:13,serp/google/organic/live/advanced,ai voice agent that integrates with crm,0.004,0.048
2026-09-20T17:58:21,serp/google/organic/live/advanced,low latency ai voice agent enterprise,0.004,0.052
2026-09-20T17:58:28,serp/google/organic/live/advanced,best ai receptionist for small business,0.004,0.056
2026-09-20T17:58:32,serp/google/organic/live/advanced,ai answering service for small business,0.004,0.06
2026-09-20T17:58:46,serp/google/organic/live/advanced,24/7 ai phone answering service,0.004,0.064
2026-09-20T17:58:52,serp/google/organic/live/advanced,ai receptionist for hvac,0.004,0.068
2026-09-20T17:59:04,serp/google/organic/live/advanced,ai receptionist for dental office,0.004,0.072
2026-09-20T17:59:08,serp/google/organic/live/advanced,affordable ai receptionist under 100,0.004,0.076
2026-09-20T17:59:10,dataforseo_labs/google/ranked_keywords/live,trillet.ai,0.015,0.091
2026-09-20T17:59:12,dataforseo_labs/google/ranked_keywords/live,retellai.com,0.015,0.106
2026-09-20T17:59:14,dataforseo_labs/google/ranked_keywords/live,synthflow.ai,0.015,0.121
2026-09-20T17:59:17,dataforseo_labs/google/ranked_keywords/live,vapi.ai,0.015,0.136
2026-09-20T17:59:24,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:What's the best white-label AI voice age,0.07557,0.21157
2026-09-20T17:59:30,ai_optimization/perplexity/llm_responses/live,perplexity:What's the best white-label AI voice age,0.00611,0.21768
2026-09-20T17:59:32,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:Which voice AI platform lets an agency r,0.00194,0.21961
2026-09-20T17:59:36,ai_optimization/perplexity/llm_responses/live,perplexity:Which voice AI platform lets an agency r,0.00579,0.22541
2026-09-20T17:59:39,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:What's a good Retell AI white-label alte,0.00272,0.22813
2026-09-20T17:59:43,ai_optimization/perplexity/llm_responses/live,perplexity:What's a good Retell AI white-label alte,0.00593,0.23406
2026-09-20T17:59:48,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:What voice AI platform should I use to s,0.00498,0.23904
2026-09-20T17:59:53,ai_optimization/perplexity/llm_responses/live,perplexity:What voice AI platform should I use to s,0.00606,0.2451
2026-09-20T17:59:58,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:What's the best enterprise AI voice agen,0.00408,0.24918
2026-09-20T18:00:03,ai_optimization/perplexity/llm_responses/live,perplexity:What's the best enterprise AI voice agen,0.00608,0.25526
2026-09-20T18:00:09,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:Which AI voice platforms are HIPAA and T,0.00318,0.25843
2026-09-20T18:00:17,ai_optimization/perplexity/llm_responses/live,perplexity:Which AI voice platforms are HIPAA and T,0.00626,0.2647
2026-09-20T18:00:20,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:What voice AI can act across CRM and bus,0.00211,0.2668
2026-09-20T18:00:25,ai_optimization/perplexity/llm_responses/live,perplexity:What voice AI can act across CRM and bus,0.00601,0.27281
2026-09-20T18:00:30,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:What's the best AI receptionist for a sm,0.00325,0.27605
2026-09-20T18:00:37,ai_optimization/perplexity/llm_responses/live,perplexity:What's the best AI receptionist for a sm,0.00593,0.28199
2026-09-20T18:00:41,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:Best AI answering service for a business,0.00304,0.28503
2026-09-20T18:00:46,ai_optimization/perplexity/llm_responses/live,perplexity:Best AI answering service for a business,0.00604,0.29107
2026-09-20T18:00:48,ai_optimization/chat_gpt/llm_responses/live,chat_gpt:What AI phone agent can book appointment,0.00176,0.29283
2026-09-20T18:00:52,ai_optimization/perplexity/llm_responses/live,perplexity:What AI phone agent can book appointment,0.00592,0.29874
